N;Algoritmo;TempoMedio_ms;MemoriaMedia_KB;Chamadas_Recursivas;Podas;Solucoes
4;Backtracking Classico;0,02;2,54;17;44;2
5;Backtracking Classico;0,02;3,08;54;167;10
6;Backtracking Classico;0,04;2,70;153;742;4
7;Backtracking Classico;0,09;2,61;552;3033;40
8;Backtracking Classico;0,36;2,61;2057;13664;92
9;Backtracking Classico;1,58;2,62;8394;63985;352
10;Backtracking Classico;7,72;2,62;35539;312612;724
11;Backtracking Classico;39,33;2,63;166926;1639781;2680
12;Backtracking Classico;215,62;2,63;856189;9247680;14200
13;Backtracking Classico;1241,06;4,27;4674890;55140425;73712
14;Backtracking Classico;7625,67;2,63;27358553;350542846;365596
