N;Algoritmo;TempoMedio_ms;MemoriaMedia_KB;Chamadas_Recursivas;Podas;Solucoes
4;Bitmask;0,00;     0,00;   17;     44; 2
5;Bitmask;0,00;     0,00;   54;     167;    10
6;Bitmask;0,00;     0,00;   153;    742;    4
7;Bitmask;0,01;     0,00;   552;    3033;   40
8;Bitmask;0,02;     0,00;   2057;   13664;  92
9;Bitmask;0,06;     0,00;   8394;   63985;  352
10;Bitmask;0,23;    0,00;   35539;  312612; 724
11;Bitmask;1,07;    0,00;   166926; 1639781;    2680
12;Bitmask;5,23;    0,00;   856189; 9247680;    14200
13;Bitmask;26,88;   0,82;   4674890;    55140425;   73712
14;Bitmask;157,79;  0,00;   27358553;   350542846;  365596
