N;Algoritmo;TempoMedio_ms;MemoriaMedia_KB;Chamadas_Recursivas;Podas;Solucoes
4;Branch and Bound;  0,01;  6,64; 13; 32; 2
5;Branch and Bound;  0,01;  2,73; 50; 151; 10
6;Branch and Bound;  0,02;  2,60; 107; 512; 4
7;Branch and Bound;  0,04;  2,61; 398; 2109; 40
8;Branch and Bound;  0,14;  2,61; 1413; 9156; 92
9;Branch and Bound;  0,59;  2,62; 5810; 43313; 352
10;Branch and Bound; 2,45;  2,62; 23489; 204162; 724
11;Branch and Bound; 12,00; 2,63; 108530; 1055821; 2680
12;Branch and Bound; 63,41; 2,63; 555659;  5941850; 14200
13;Branch and Bound; 343,58;    2,63; 3031950; 35425145; 73712
14;Branch and Bound; 2073,29;   2,63; 17693457; 224896598; 365596
